CASH,2406,71,439,78.5,70,73,73.8
CASH,2412,357.7,41139,361,355,358.6,360.7
CASH,11813,356.95,50818,364,352.1,354.4,351.3
CASH,11829,176,9710,183.6,173.6,182.2,188.9
CASH,2481,34.9,2060,34.9,32.3,33.5,34.4
CASH,2487,272.35,487951,275.85,266.05,269.95,275.05
CASH,13986,303.9,1044554,307.95,299.1,304.85,307.8
CASH,10794,431,387152,437.05,419.7,437.05,436.95
CASH,11965,232.5,66652,260.8,213,260.8,258.95
CASH,13332,755.1,903,764.9,738.1,752,752.8
CASH,2535,1890.2,633,1934.85,1886.2,1934.85,1900.2
CASH,2643,1260,1948,1307.95,1243.4,1273.2,1299.65
CASH,13342,330,5166,330.9,330,330.05,330
CASH,13404,263.25,247425,269.45,259.15,267.35,267.2
CASH,2649,111.1,15515,115,110,112.3,115.9
CASH,2705,70.2,1280834,71.5,66.7,69.95,71.1
CASH,13486,32,36865,32.9,31.55,32.9,32.6
CASH,13538,599,70987,604.2,588.8,595,598.55
CASH,2912,360,81796,371.55,353.65,370.2,372.75
CASH,2939,713,195,733.45,711.05,730,740.65
CASH,13577,509.95,6215,523.1,509,523.1,527.25
CASH,13648,39.85,2480,41.85,37.65,38,39.4
CASH,3915,266.5,794,290,266.5,275.2,288.55
CASH,4055,90.3,15340,95.8,90.1,95.6,96.55
CASH,13740,25.95,4723,26.45,24.5,26.45,25.55
CASH,13786,203,35569,208.65,202.2,206.2,206.2
CASH,4067,147.45,1051831,148.5,145.3,148,148.25
CASH,4204,149,88622,152.85,145.25,150,151.85
CASH,14766,16.95,157239,17.9,16.3,16.3,16.3
CASH,14788,72.6,20496,73.35,72,73,73.2
CASH,4503,298.95,201223,307.1,292.45,301,299.65
CASH,5528,392.05,853,401,390.1,401,410.75
CASH,14879,436.35,56377,445,428.15,443.4,440.25
CASH,15078,253.75,155199,256.95,233.6,256.95,257
CASH,7257,730.5,1846,745.2,721,745,747.7
CASH,7851,49.65,4091,54.75,48.3,54.75,51.4
CASH,15114,93.5,30143,97,93,97,98.45
CASH,15362,175.75,26794,179.75,174.5,177,178.05
CASH,8050,282,3007,285,278.2,279,281.4
CASH,8054,75.4,758363,76.7,72.1,74,74.35
CASH,15414,418.35,54776,428,401,428,429
CASH,16713,397.85,26911,404.8,393.3,393.3,399.15
CASH,16965,87.05,990687,87.9,84.3,87,87.9
CASH,17641,385,38852,395,360,382.5,379.25
CASH,11351,158.55,896220,162.5,156.8,159.95,160.05
CASH,11403,57.65,43977,59.9,57,59,59.6
CASH,17993,425.95,11106,440,420.55,430.5,435
CASH,18278,59,72861,59.25,57.05,59,59.1
CASH,11543,204.3,13467,212,201.15,212,211.55
CASH,11699,82.25,286233,84.75,82,84.75,85.35
CASH,18442,123.15,17970,126.1,121.2,125,128.15
CASH,18797,132.5,44145,136.5,128.25,132.65,133.7
CASH,11864,15,8724,15.85,14.2,14.5,15.45
CASH,11876,22.25,484514,22.5,21.6,22,22.3
CASH,20188,342.75,1873,348,338,342,339.75
CASH,20912,98,20067,99.45,97.8,97.8,100.1
CASH,11901,25.6,134074,26.6,24.9,25.65,25.3
CASH,11909,184.5,692,187.5,180,181,182.05
CASH,21828,68.55,17059,68.7,66.5,67,68.15
CASH,25340,11.95,102294,12.7,11.75,12.05,12.75
CASH,13285,640.1,11995,647.65,620,642,647.95
CASH,13451,97.5,4930,100,82,82,99.15
CASH,2840,461.95,748139,465,436,447.5,453.25
CASH,13781,12,8606174,12.35,11.6,12.3,12.35
CASH,13496,55.1,501600,58.35,52.75,58,58
CASH,13683,106.25,17125,121.1,105.4,114.95,106.2
CASH,13946,47.25,614,47.25,42,45.65,46.3
CASH,14111,44.85,31162,48,43.15,48,49
CASH,14134,57.25,11837,59.9,56.15,57.5,58.5
CASH,14154,165.55,229,176.5,156.8,171.1,171.1
CASH,3192,25.85,2473946,28.6,25.3,27.6,27.55
CASH,11203,34.15,1150013,35.1,32.55,34,33.6
CASH,3499,388.75,4660932,398.3,385.05,398.3,400.1
CASH,3456,168.95,9734753,172,166.95,172,175.15
CASH,14255,85.9,10173,88,85.5,87.3,87.45
CASH,14356,394,6794,397,392,393.6,396.15
CASH,14413,2501.25,6377,2529.95,2474,2510,2525.8
CASH,14697,92.05,596694,105.5,86.1,104.5,106.1
CASH,14761,23.65,108535,24.5,22.5,22.7,23.35
CASH,14937,60.95,19277,62.5,58.05,58.05,60.3
CASH,16669,1702.05,162111,1727.9,1698.75,1710,1718.2
CASH,11888,140.1,681501,144,106.8,133,133.5
CASH,15083,136.1,993424,137.1,128.35,131.15,132.15
CASH,15104,12.4,5496,12.65,11.5,12,12.3
CASH,15124,32.6,9315,33,31,32,32.9
CASH,15278,56.5,127621,57.1,55.3,57,57
CASH,15332,193.25,140620,201,192.5,200.05,202.15
CASH,16757,23.25,545990,23.5,18.6,23.5,23.25
CASH,16974,21.15,129602,22.5,20.05,22.5,21.7
CASH,17321,502.05,25298,509.9,480,480,499.7
CASH,17333,307,17653,312.5,305.05,306.15,307.55
CASH,17370,486,5115,500.1,482.1,500.1,512.15
CASH,17438,1217.75,50323,1235,1200,1235,1238.4
CASH,17604,80.4,36026,82.5,79.45,81.15,82.15
CASH,17957,583.5,3331,595,579,590.45,590.45
CASH,17963,4435.55,37702,4490,4390,4475,4473.65
CASH,18220,28.3,32226,29.1,28.3,29.05,30.35
CASH,18321,307.05,454,321,305.2,319.95,315.7
CASH,18365,310.8,5725,311.5,308,311,313.55
CASH,18581,122,1246,124,120.05,124,122.05
CASH,18877,220.05,268241,230.25,188,230.25,234.95
CASH,19061,58.9,680909,61.5,58.7,61.5,61.95
CASH,20134,208,4116,217.95,204.65,217,217.55
CASH,20242,218.2,40507,223.75,215,217,217.95
CASH,20918,73.2,2970,76,72,76,74.15
CASH,21001,70.05,63131,70.85,68.75,69.95,69.25
CASH,22415,356.4,452683,368,347.25,367.25,369.75
CASH,14977,101.1,3181607,103.5,98.35,103,103.15
CASH,9479,51.3,1123094,54,51.25,53.8,53.35
CASH,13826,227.55,178678,238,221.05,227.85,229.4
CASH,3703,127.7,3625331,129.65,119.35,123.5,123.15
CASH,5831,91.25,5535033,93.8,86.4,87,87.7
CASH,13265,337.05,1066948,347.25,330,345,346.85
CASH,4745,326.45,488749,333.9,316.4,333.9,337.15
CASH,1660,202.05,5210211,207.4,200.25,206.25,207.75
CASH,11957,109.8,3881505,110,106.75,108.1,108.75
CASH,10447,781.25,243331,794.95,764.3,775,780.65
CASH,11355,49.25,1462762,51.8,49,51.8,51.85
CASH,3812,116.95,695821,117.2,112.5,114.15,114.15
CASH,11821,79.7,490990,81.9,78.25,81.75,81.8
CASH,11536,1090.65,868687,1109.8,1088,1105.75,1115.15
CASH,3594,22.35,16069990,24,22.1,24,23.15
CASH,2885,796.25,3513698,803,787,800.3,809.95
CASH,11483,1225.25,1813805,1237.85,1201.1,1229,1232.75
CASH,1491,23.15,13224705,25.2,23.15,25,25.35
CASH,14366,98.7,2686987,99,95.6,98,98.15
CASH,2918,57.9,1396917,62.4,57.1,62.4,62.45
CASH,1997,220.8,827205,223,217,221,222.35
CASH,438,269.7,6149178,286.5,267.15,286.2,284.85
CASH,5900,951.85,2296134,980.8,940,978.1,985.55
CASH,2963,88.95,3067615,90.45,88.3,88.95,90.45
CASH,3506,201.1,3155263,203.5,193.1,193.1,202.4
CASH,14299,162.2,3583775,166.15,152.35,163,163.2
CASH,10516,194.95,3894919,197,183.8,184,182.1
